keys,ko,en
HOME_BUTTON,홈,Home
VOYAGE_BUTTON,항해,Voyage
CLOCK_BUTTON,시계,Clock
TIMER_BUTTON,타이머,Timer
TODO_BUTTON,할일,Todo
HABIT_BUTTON,습관,Habit
JOURNAL_BUTTON,일지,Journal
RECORD_BUTTON,기록,Record
VOYAGE_TAB_STATS,통계,Stats
VOYAGE_TAB_LETTER,편지,Letters
VOYAGE_TAB_CODEX,도감,Codex
VOYAGE_STAT_FOCUS,누적 집중: {time},Total focus: {time}
VOYAGE_STAT_PLAY,누적 플레이: {time},Total play: {time}
VOYAGE_STAT_DISTANCE,항해 거리: {distance} leagues,Voyage distance: {distance} leagues
VOYAGE_STAT_COUNT,총 활동: {count}건,Total activities: {count}
CLOCK_TAB_POMODORO,뽀모도로,Pomodoro
CLOCK_TAB_TIMER,타이머,Timer
CLOCK_TAB_ALARM,알람,Alarm
CLOCK_TAB_SETTINGS,설정,Settings
CLOCK_POMO_TITLE,뽀모도로,Pomodoro
CLOCK_POMO_FOCUS,집중,Focus
CLOCK_POMO_SHORT_BREAK,짧은 휴식,Short Break
CLOCK_POMO_LONG_BREAK,긴 휴식,Long Break
CLOCK_POMO_IDLE,진행 없음,No session
CLOCK_POMO_REPEAT,반복,Repeat
CLOCK_POMO_STATUS,{type} 중,{type}
CLOCK_POMO_PHASE_LABEL,{type}  ·  {current} / {total} 구간,{type}  ·  {current} / {total} segments
ALARM_ADD_BUTTON,새 알림 추가,Add Alarm
CLOCK_SETTINGS_AUTO_MINIMIZE,활성 시 자동 최소화,Auto-minimize when active
CLOCK_SETTINGS_AUTO_MAXIMIZE,비활성 시 자동 최대화,Auto-maximize when inactive
CLOCK_SETTINGS_HIDE_COUNTDOWN,카운트다운 숨기기,Hide countdown
TODO_DEFAULT_GROUP_NAME,기본,Default
TODO_EMPTY_PLACEHOLDER,(할 일 입력),(Enter task)
TODO_NEW_GROUP_NAME,새 목록,New List
TODO_GROUP_EDIT_TITLE,목록 편집,Edit Lists
TODO_GROUP_ADD_BUTTON,+ 새 목록 추가,+ Add New List
TODO_GROUP_CLOSE_BUTTON,목록 확인,Done
TODO_ADD_BUTTON,+ 새로운 과제 추가하기,+ Add New Task
TODO_SORT_LABEL,정렬: {name},Sort: {name}
TODO_SORT_MANUAL,수동,Manual
TODO_SORT_DUE,마감일,Due Date
TODO_SORT_NAME,이름,Name
